GeneID	variants
CGI_10000673	1
CGI_10000679	1
CGI_10000683	1
CGI_10000687	38
CGI_10000691	1
CGI_10000692	8
CGI_10000693	5
CGI_10000696	2
CGI_10000697	1
CGI_10000701	4
CGI_10000702	5
CGI_10000705	12
CGI_10000706	1
CGI_10000708	2
CGI_10000709	9
CGI_10000712	6
CGI_10000713	1
CGI_10000715	1
CGI_10000720	1
CGI_10000725	4
CGI_10000733	1
CGI_10000738	1
CGI_10000740	5
CGI_10000741	2
CGI_10000746	2
CGI_10000748	1
CGI_10000751	1
CGI_10000753	1
CGI_10000755	15
CGI_10000756	3
CGI_10000759	1
CGI_10000761	2
CGI_10000762	2
CGI_10000763	1
CGI_10000765	4
CGI_10000766	1
CGI_10000768	2
CGI_10000769	1
CGI_10000774	5
CGI_10000776	2
CGI_10000788	3
CGI_10000789	1
CGI_10000793	8
CGI_10000794	2
CGI_10000795	3
CGI_10000817	1
CGI_10000818	5
CGI_10000822	1
CGI_10000826	4
CGI_10000828	1
CGI_10000839	14
CGI_10000840	1
CGI_10000843	2
CGI_10000847	3
CGI_10000850	1
CGI_10000851	3
CGI_10000852	2
CGI_10000853	1
CGI_10000854	1
CGI_10000855	6
CGI_10000856	4
CGI_10000858	2
CGI_10000859	3
CGI_10000864	1
CGI_10000865	3
CGI_10000867	2
CGI_10000869	2
CGI_10000871	1
CGI_10000874	1
CGI_10000877	3
CGI_10000879	3
CGI_10000880	1
CGI_10000882	1
CGI_10000883	1
CGI_10000884	1
CGI_10000887	1
CGI_10000888	1
CGI_10000891	1
CGI_10000894	2
CGI_10000897	2
CGI_10000898	1
CGI_10000902	1
CGI_10000905	1
CGI_10000906	1
CGI_10000907	1
CGI_10000909	1
CGI_10000912	5
CGI_10000913	4
CGI_10000914	1
CGI_10000915	2
CGI_10000916	1
CGI_10000918	1
CGI_10000921	1
CGI_10000932	1
CGI_10000933	1
CGI_10000934	2
CGI_10000935	2
CGI_10000941	4
CGI_10000942	1
CGI_10000943	3
CGI_10000944	19
CGI_10000947	1
CGI_10000949	6
CGI_10000954	1
CGI_10000964	1
CGI_10000968	5
CGI_10000976	1
CGI_10000978	1
CGI_10000979	6
CGI_10000980	1
CGI_10000983	4
CGI_10000986	1
CGI_10000990	1
CGI_10000993	1
CGI_10000994	6
CGI_10000995	1
CGI_10000996	1
CGI_10000998	1
CGI_10001000	1
CGI_10001001	2
CGI_10001003	1
CGI_10001005	1
CGI_10001008	9
CGI_10001009	1
CGI_10001010	1
CGI_10001011	1
CGI_10001012	1
CGI_10001013	1
CGI_10001015	2
CGI_10001018	5
CGI_10001020	1
CGI_10001022	2
CGI_10001023	2
CGI_10001025	1
CGI_10001026	2
CGI_10001027	1
CGI_10001040	19
CGI_10001042	1
CGI_10001043	2
CGI_10001047	5
CGI_10001048	1
CGI_10001049	1
CGI_10001050	1
CGI_10001052	4
CGI_10001053	1
CGI_10001056	1
CGI_10001062	1
CGI_10001063	1
CGI_10001066	1
CGI_10001072	1
CGI_10001075	1
CGI_10001076	4
CGI_10001077	1
CGI_10001089	37
CGI_10001090	6
CGI_10001091	4
CGI_10001095	1
CGI_10001102	20
CGI_10001109	1
CGI_10001110	1
CGI_10001111	2
CGI_10001114	5
CGI_10001116	18
CGI_10001119	15
CGI_10001121	1
CGI_10001122	2
CGI_10001123	1
CGI_10001124	1
CGI_10001125	2
CGI_10001130	1
CGI_10001131	1
CGI_10001132	4
CGI_10001138	5
CGI_10001150	2
CGI_10001157	1
CGI_10001162	1
CGI_10001163	1
CGI_10001164	1
CGI_10001165	1
CGI_10001168	27
CGI_10001174	2
CGI_10001175	1
CGI_10001177	1
CGI_10001183	2
CGI_10001185	4
CGI_10001188	3
CGI_10001189	1
CGI_10001190	1
CGI_10001197	1
CGI_10001199	2
CGI_10001200	1
CGI_10001204	4
CGI_10001214	2
CGI_10001216	1
CGI_10001217	3
CGI_10001221	1
CGI_10001223	1
CGI_10001224	1
CGI_10001226	14
CGI_10001227	2
CGI_10001233	1
CGI_10001234	1
CGI_10001235	5
CGI_10001236	6
CGI_10001238	3
CGI_10001245	7
CGI_10001246	7
CGI_10001250	4
CGI_10001251	2
CGI_10001253	1
CGI_10001256	1
CGI_10001257	4
CGI_10001262	3
CGI_10001268	12
CGI_10001270	1
CGI_10001271	2
CGI_10001272	4
CGI_10001276	8
CGI_10001277	1
CGI_10001278	1
CGI_10001281	1
CGI_10001285	1
CGI_10001286	16
CGI_10001287	1
CGI_10001293	2
CGI_10001294	1
CGI_10001297	2
CGI_10001299	4
CGI_10001301	3
CGI_10001302	2
CGI_10001306	1
CGI_10001309	7
CGI_10001310	2
CGI_10001311	1
CGI_10001313	1
CGI_10001315	1
CGI_10001317	5
CGI_10001322	5
CGI_10001324	1
CGI_10001325	2
CGI_10001329	5
CGI_10001331	1
CGI_10001333	1
CGI_10001334	1
CGI_10001336	1
CGI_10001338	1
CGI_10001342	1
CGI_10001343	1
CGI_10001344	1
CGI_10001345	1
CGI_10001347	1
CGI_10001348	1
CGI_10001352	4
CGI_10001356	1
CGI_10001357	2
CGI_10001358	9
CGI_10001362	4
CGI_10001363	1
CGI_10001364	9
CGI_10001366	2
CGI_10001369	2
CGI_10001372	3
CGI_10001375	1
CGI_10001376	1
CGI_10001379	3
CGI_10001381	4
CGI_10001382	1
CGI_10001383	1
CGI_10001384	2
CGI_10001389	2
CGI_10001391	1
CGI_10001394	1
CGI_10001395	4
CGI_10001396	2
CGI_10001401	1
CGI_10001403	1
CGI_10001404	1
CGI_10001407	1
CGI_10001408	2
CGI_10001410	1
CGI_10001414	1
CGI_10001418	10
CGI_10001419	6
CGI_10001420	1
CGI_10001422	3
CGI_10001426	7
CGI_10001430	2
CGI_10001431	5
CGI_10001432	1
CGI_10001433	1
CGI_10001434	4
CGI_10001437	3
CGI_10001439	10
CGI_10001441	1
CGI_10001443	2
CGI_10001444	4
CGI_10001445	2
CGI_10001446	1
CGI_10001449	1
CGI_10001450	1
CGI_10001455	1
CGI_10001456	4
CGI_10001457	2
CGI_10001458	2
CGI_10001459	1
CGI_10001460	2
CGI_10001463	4
CGI_10001464	11
CGI_10001465	5
CGI_10001468	1
CGI_10001469	1
CGI_10001470	1
CGI_10001471	1
CGI_10001472	2
CGI_10001474	2
CGI_10001478	1
CGI_10001479	1
CGI_10001480	8
CGI_10001481	1
CGI_10001482	3
CGI_10001483	6
CGI_10001486	1
CGI_10001489	1
CGI_10001490	1
CGI_10001493	12
CGI_10001495	1
CGI_10001496	1
CGI_10001497	1
CGI_10001498	1
CGI_10001504	2
CGI_10001506	2
CGI_10001507	1
CGI_10001508	1
CGI_10001512	1
CGI_10001515	2
CGI_10001521	1
CGI_10001522	1
CGI_10001524	1
CGI_10001528	1
CGI_10001529	1
CGI_10001530	1
CGI_10001531	1
CGI_10001533	4
CGI_10001535	4
CGI_10001537	2
CGI_10001541	1
CGI_10001545	1
CGI_10001553	1
CGI_10001554	3
CGI_10001559	1
CGI_10001560	1
CGI_10001563	1
CGI_10001567	1
CGI_10001569	3
CGI_10001571	4
CGI_10001572	5
CGI_10001573	1
CGI_10001581	3
CGI_10001585	1
CGI_10001586	1
CGI_10001588	1
CGI_10001590	2
CGI_10001592	1
CGI_10001595	1
CGI_10001600	2
CGI_10001604	1
CGI_10001605	3
CGI_10001608	2
CGI_10001612	1
CGI_10001613	1
CGI_10001615	1
CGI_10001622	3
CGI_10001623	1
CGI_10001625	2
CGI_10001626	1
CGI_10001628	1
CGI_10001629	2
CGI_10001630	2
CGI_10001631	5
CGI_10001632	5
CGI_10001633	1
CGI_10001634	14
CGI_10001635	3
CGI_10001636	1
CGI_10001639	2
CGI_10001640	2
CGI_10001643	1
CGI_10001644	1
CGI_10001646	4
CGI_10001651	1
CGI_10001653	9
CGI_10001654	2
CGI_10001658	3
CGI_10001659	3
CGI_10001661	1
CGI_10001662	1
CGI_10001664	2
CGI_10001665	2
CGI_10001667	3
CGI_10001672	1
CGI_10001673	13
CGI_10001699	1
CGI_10001706	7
CGI_10001710	10
CGI_10001711	3
CGI_10001712	11
CGI_10001715	1
CGI_10001716	1
CGI_10001718	4
CGI_10001721	3
CGI_10001734	1
CGI_10001736	2
CGI_10001737	1
CGI_10001738	2
CGI_10001740	2
CGI_10001743	1
CGI_10001744	1
CGI_10001745	1
CGI_10001746	2
CGI_10001748	2
CGI_10001749	1
CGI_10001764	1
CGI_10001765	2
CGI_10001766	6
CGI_10001767	1
CGI_10001776	1
CGI_10001778	7
CGI_10001779	1
CGI_10001780	3
CGI_10001786	1
CGI_10001789	4
CGI_10001790	3
CGI_10001792	2
CGI_10001793	1
CGI_10001794	12
CGI_10001795	2
CGI_10001797	2
CGI_10001803	3
CGI_10001805	1
CGI_10001807	1
CGI_10001808	1
CGI_10001811	1
CGI_10001813	2
CGI_10001814	1
CGI_10001815	1
CGI_10001819	9
CGI_10001820	1
CGI_10001822	4
CGI_10001823	3
CGI_10001824	1
CGI_10001825	1
CGI_10001827	2
CGI_10001829	8
CGI_10001830	1
CGI_10001834	1
CGI_10001835	1
CGI_10001836	2
CGI_10001837	3
CGI_10001839	1
CGI_10001842	1
CGI_10001843	1
CGI_10001844	1
CGI_10001845	2
CGI_10001847	3
CGI_10001848	1
CGI_10001849	1
CGI_10001850	3
CGI_10001851	2
CGI_10001852	3
CGI_10001855	7
CGI_10001858	2
CGI_10001862	1
CGI_10001863	4
CGI_10001864	1
CGI_10001868	1
CGI_10001869	7
CGI_10001870	2
CGI_10001871	1
CGI_10001872	1
CGI_10001873	1
CGI_10001874	1
CGI_10001875	1
CGI_10001876	2
CGI_10001877	2
CGI_10001879	1
CGI_10001881	1
CGI_10001889	2
CGI_10001891	1
CGI_10001910	3
CGI_10001911	14
CGI_10001912	2
CGI_10001913	5
CGI_10001928	2
CGI_10001929	2
CGI_10001930	1
CGI_10001931	3
CGI_10001932	9
CGI_10001933	3
CGI_10001934	1
CGI_10001935	2
CGI_10001936	1
CGI_10001943	1
CGI_10001970	1
CGI_10001974	1
CGI_10001975	2
CGI_10001976	1
CGI_10001977	1
CGI_10001980	5
CGI_10001981	2
CGI_10001982	3
CGI_10001985	2
CGI_10002009	4
CGI_10002011	3
CGI_10002012	5
CGI_10002014	1
CGI_10002015	2
CGI_10002016	4
CGI_10002017	1
CGI_10002018	2
CGI_10002022	1
CGI_10002025	2
CGI_10002026	1
CGI_10002027	2
CGI_10002028	1
CGI_10002029	1
CGI_10002031	1
CGI_10002036	2
CGI_10002037	1
CGI_10002038	1
CGI_10002040	1
CGI_10002041	3
CGI_10002047	1
CGI_10002048	1
CGI_10002049	2
CGI_10002065	1
CGI_10002067	10
CGI_10002069	8
CGI_10002070	2
CGI_10002098	2
CGI_10002100	4
CGI_10002102	4
CGI_10002103	2
CGI_10002104	1
CGI_10002107	2
CGI_10002108	1
CGI_10002110	1
CGI_10002111	2
CGI_10002114	1
CGI_10002116	1
CGI_10002118	6
CGI_10002119	1
CGI_10002141	1
CGI_10002142	1
CGI_10002151	1
CGI_10002160	1
CGI_10002161	2
CGI_10002162	3
CGI_10002163	5
CGI_10002164	2
CGI_10002165	8
CGI_10002166	1
CGI_10002168	5
CGI_10002171	1
CGI_10002172	2
CGI_10002173	1
CGI_10002178	1
CGI_10002180	2
CGI_10002181	2
CGI_10002182	1
CGI_10002184	1
CGI_10002191	25
CGI_10002192	1
CGI_10002193	1
CGI_10002196	3
CGI_10002214	4
CGI_10002216	3
CGI_10002217	1
CGI_10002218	1
CGI_10002219	2
CGI_10002220	2
CGI_10002224	1
CGI_10002225	3
CGI_10002226	3
CGI_10002228	4
CGI_10002229	1
CGI_10002230	1
CGI_10002231	1
CGI_10002232	2
CGI_10002234	3
CGI_10002238	6
CGI_10002239	6
CGI_10002240	2
CGI_10002241	1
CGI_10002242	1
CGI_10002249	3
CGI_10002250	3
CGI_10002252	3
CGI_10002253	3
CGI_10002257	3
CGI_10002261	1
CGI_10002263	1
CGI_10002264	1
CGI_10002265	2
CGI_10002266	5
CGI_10002283	2
CGI_10002287	2
CGI_10002288	2
CGI_10002289	1
CGI_10002290	4
CGI_10002291	3
CGI_10002293	2
CGI_10002294	1
CGI_10002295	1
CGI_10002296	1
CGI_10002297	1
CGI_10002298	2
CGI_10002299	7
CGI_10002304	7
CGI_10002305	6
CGI_10002306	1
CGI_10002308	1
CGI_10002310	1
CGI_10002311	3
CGI_10002312	2
CGI_10002314	1
CGI_10002315	1
CGI_10002317	1
CGI_10002319	2
CGI_10002321	3
CGI_10002322	1
CGI_10002328	1
CGI_10002330	6
CGI_10002331	1
CGI_10002332	22
CGI_10002335	1
CGI_10002339	1
CGI_10002340	1
CGI_10002341	2
CGI_10002345	1
CGI_10002347	1
CGI_10002350	4
CGI_10002351	1
CGI_10002353	5
CGI_10002358	1
CGI_10002359	4
CGI_10002360	2
CGI_10002361	1
CGI_10002362	1
CGI_10002365	2
CGI_10002367	1
CGI_10002369	1
CGI_10002370	2
CGI_10002372	1
CGI_10002374	1
CGI_10002375	1
CGI_10002376	1
CGI_10002377	1
CGI_10002379	1
CGI_10002380	1
CGI_10002381	7
CGI_10002382	9
CGI_10002383	2
CGI_10002385	8
CGI_10002387	2
CGI_10002389	4
CGI_10002391	5
CGI_10002394	1
CGI_10002395	1
CGI_10002396	3
CGI_10002397	6
CGI_10002398	2
CGI_10002402	4
CGI_10002405	3
CGI_10002407	1
CGI_10002410	3
CGI_10002411	2
CGI_10002412	1
CGI_10002413	2
CGI_10002414	2
CGI_10002415	1
CGI_10002416	1
CGI_10002419	2
CGI_10002420	1
CGI_10002422	1
CGI_10002426	2
CGI_10002429	4
CGI_10002430	1
CGI_10002431	1
CGI_10002432	1
CGI_10002433	1
CGI_10002434	2
CGI_10002435	1
CGI_10002436	1
CGI_10002437	1
CGI_10002438	2
CGI_10002439	3
CGI_10002441	1
CGI_10002445	8
CGI_10002446	2
CGI_10002448	1
CGI_10002449	1
CGI_10002450	2
CGI_10002452	1
CGI_10002453	2
CGI_10002456	4
CGI_10002458	1
CGI_10002459	1
CGI_10002462	3
CGI_10002464	1
CGI_10002465	2
CGI_10002466	3
CGI_10002468	2
CGI_10002472	4
CGI_10002475	1
CGI_10002476	1
CGI_10002477	1
CGI_10002478	2
CGI_10002479	2
CGI_10002480	1
CGI_10002481	1
CGI_10002485	1
CGI_10002487	2
CGI_10002494	6
CGI_10002498	3
CGI_10002501	1
CGI_10002502	1
CGI_10002503	1
CGI_10002507	5
CGI_10002508	2
CGI_10002512	1
CGI_10002515	1
CGI_10002516	1
CGI_10002518	8
CGI_10002519	3
CGI_10002520	1
CGI_10002521	4
CGI_10002523	1
CGI_10002526	9
CGI_10002527	1
CGI_10002529	3
CGI_10002531	3
CGI_10002533	1
CGI_10002539	3
CGI_10002541	2
CGI_10002545	1
CGI_10002546	1
CGI_10002547	1
CGI_10002548	7
CGI_10002553	1
CGI_10002555	3
CGI_10002556	2
CGI_10002561	1
CGI_10002563	1
CGI_10002564	1
CGI_10002565	1
CGI_10002566	2
CGI_10002567	1
CGI_10002568	8
CGI_10002570	2
CGI_10002572	1
CGI_10002573	2
CGI_10002580	1
CGI_10002582	1
CGI_10002583	1
CGI_10002584	2
CGI_10002585	2
CGI_10002586	1
CGI_10002587	1
CGI_10002588	2
CGI_10002589	12
CGI_10002590	2
CGI_10002592	2
CGI_10002593	1
CGI_10002597	2
CGI_10002599	1
CGI_10002600	1
CGI_10002601	1
CGI_10002603	1
CGI_10002604	1
CGI_10002608	2
CGI_10002610	14
CGI_10002615	1
CGI_10002616	1
CGI_10002617	1
CGI_10002618	2
CGI_10002619	2
CGI_10002620	2
CGI_10002625	2
CGI_10002627	4
CGI_10002628	2
CGI_10002629	32
CGI_10002630	1
CGI_10002631	1
CGI_10002633	1
CGI_10002639	2
CGI_10002641	1
CGI_10002642	1
CGI_10002643	1
CGI_10002644	29
CGI_10002645	4
CGI_10002646	1
CGI_10002647	9
CGI_10002649	9
CGI_10002650	1
CGI_10002651	2
CGI_10002653	1
CGI_10002654	1
CGI_10002655	1
CGI_10002656	2
CGI_10002657	2
CGI_10002658	2
CGI_10002659	1
CGI_10002661	3
CGI_10002662	1
CGI_10002663	1
CGI_10002664	1
CGI_10002666	4
CGI_10002668	1
CGI_10002671	1
CGI_10002672	2
CGI_10002673	1
CGI_10002675	3
CGI_10002678	2
CGI_10002686	1
CGI_10002687	4
CGI_10002688	1
CGI_10002689	1
CGI_10002693	2
CGI_10002695	1
CGI_10002696	1
CGI_10002697	1
CGI_10002698	1
CGI_10002699	1
CGI_10002700	1
CGI_10002701	2
CGI_10002704	2
CGI_10002705	1
CGI_10002706	1
CGI_10002708	1
CGI_10002709	4
CGI_10002713	1
CGI_10002715	27
CGI_10002717	2
CGI_10002718	3
CGI_10002719	4
CGI_10002723	4
CGI_10002724	1
CGI_10002725	1
CGI_10002726	2
CGI_10002728	1
CGI_10002730	1
CGI_10002733	3
CGI_10002734	1
CGI_10002737	1
CGI_10002738	1
CGI_10002741	3
CGI_10002742	8
CGI_10002748	1
CGI_10002749	2
CGI_10002750	1
CGI_10002751	1
CGI_10002753	1
CGI_10002754	1
CGI_10002755	1
CGI_10002756	2
CGI_10002760	1
CGI_10002762	1
CGI_10002763	2
CGI_10002766	4
CGI_10002767	1
CGI_10002768	3
CGI_10002770	1
CGI_10002771	5
CGI_10002772	1
CGI_10002773	2
CGI_10002774	1
CGI_10002775	5
CGI_10002778	1
CGI_10002783	10
CGI_10002784	1
CGI_10002788	1
CGI_10002789	2
CGI_10002790	1
CGI_10002792	1
CGI_10002793	1
CGI_10002794	1
CGI_10002795	9
CGI_10002797	1
CGI_10002798	1
CGI_10002799	4
CGI_10002800	5
CGI_10002805	1
CGI_10002806	7
CGI_10002807	2
CGI_10002808	2
CGI_10002811	1
CGI_10002812	7
CGI_10002815	1
CGI_10002817	1
CGI_10002818	1
CGI_10002819	1
CGI_10002821	1
CGI_10002823	1
CGI_10002824	1
CGI_10002826	1
CGI_10002827	1
CGI_10002829	1
CGI_10002833	4
CGI_10002835	1
CGI_10002837	7
CGI_10002839	4
CGI_10002840	2
CGI_10002841	3
CGI_10002842	3
CGI_10002843	2
CGI_10002844	1
CGI_10002845	1
CGI_10002849	19
CGI_10002852	1
CGI_10002854	1
CGI_10002858	1
CGI_10002860	1
CGI_10002861	3
CGI_10002862	4
CGI_10002863	1
CGI_10002864	1
CGI_10002865	1
CGI_10002866	1
CGI_10002867	2
CGI_10002868	1
CGI_10002869	1
CGI_10002871	1
CGI_10002872	2
CGI_10002873	1
CGI_10002874	1
CGI_10002875	1
CGI_10002878	1
CGI_10002879	7
CGI_10002881	2
CGI_10002887	1
CGI_10002889	3
CGI_10002891	1
CGI_10002892	3
CGI_10002893	1
CGI_10002895	1
CGI_10002896	1
CGI_10002897	1
CGI_10002898	5
CGI_10002899	1
CGI_10002900	2
CGI_10002901	1
CGI_10002904	3
CGI_10002905	2
CGI_10002909	1
CGI_10002910	1
CGI_10002913	2
CGI_10002914	6
CGI_10002916	1
CGI_10002917	21
CGI_10002919	9
CGI_10002920	1
CGI_10002921	1
CGI_10002922	2
CGI_10002923	33
CGI_10002924	5
CGI_10002925	1
CGI_10002928	3
CGI_10002929	1
CGI_10002937	1
CGI_10002938	2
CGI_10002940	3
CGI_10002943	13
CGI_10002946	1
CGI_10002947	4
CGI_10002948	1
CGI_10002949	5
CGI_10002950	8
CGI_10002951	4
CGI_10002955	6
CGI_10002957	1
CGI_10002959	3
CGI_10002963	3
CGI_10002964	2
CGI_10002965	1
CGI_10002966	2
CGI_10002971	1
CGI_10002972	12
CGI_10002977	1
CGI_10002979	1
CGI_10002981	1
CGI_10002982	1
CGI_10002983	2
CGI_10002984	3
CGI_10002985	1
CGI_10002986	1
CGI_10002987	1
CGI_10002988	1
CGI_10002990	2
CGI_10002992	1
CGI_10002994	9
CGI_10002995	7
CGI_10002996	1
CGI_10002998	3
CGI_10002999	1
CGI_10003000	1
CGI_10003001	1
CGI_10003002	2
CGI_10003004	3
CGI_10003007	1
CGI_10003008	1
CGI_10003010	1
CGI_10003013	1
CGI_10003014	2
CGI_10003017	2
CGI_10003019	2
CGI_10003020	1
CGI_10003021	2
CGI_10003025	6
CGI_10003026	1
CGI_10003031	2
CGI_10003032	1
CGI_10003034	1
CGI_10003039	2
CGI_10003041	4
CGI_10003042	1
CGI_10003043	3
CGI_10003044	5
CGI_10003051	5
CGI_10003055	4
CGI_10003056	3
CGI_10003057	80
CGI_10003058	3
CGI_10003059	1
CGI_10003060	1
CGI_10003063	16
CGI_10003064	1
CGI_10003065	2
CGI_10003068	1
CGI_10003069	1
CGI_10003072	8
CGI_10003073	1
CGI_10003076	1
CGI_10003077	1
CGI_10003079	4
CGI_10003082	5
CGI_10003085	1
CGI_10003086	2
CGI_10003088	2
CGI_10003089	22
CGI_10003091	2
CGI_10003092	1
CGI_10003093	1
CGI_10003097	2
CGI_10003100	1
CGI_10003101	1
CGI_10003104	1
CGI_10003105	1
CGI_10003107	1
CGI_10003110	3
CGI_10003111	5
CGI_10003112	1
CGI_10003114	2
CGI_10003117	1
CGI_10003120	1
CGI_10003121	1
CGI_10003124	5
CGI_10003125	1
CGI_10003130	1
CGI_10003131	1
CGI_10003132	1
CGI_10003133	1
CGI_10003134	3
CGI_10003135	1
CGI_10003137	5
CGI_10003138	2
CGI_10003139	1
CGI_10003140	1
CGI_10003141	1
CGI_10003142	1
CGI_10003143	1
CGI_10003145	2
CGI_10003149	4
CGI_10003150	1
CGI_10003154	1
CGI_10003156	1
CGI_10003157	1
CGI_10003158	1
CGI_10003160	1
CGI_10003161	2
CGI_10003162	1
CGI_10003163	1
CGI_10003168	1
CGI_10003169	3
CGI_10003170	1
CGI_10003171	1
CGI_10003172	1
CGI_10003173	1
CGI_10003174	1
CGI_10003175	1
CGI_10003179	1
CGI_10003180	3
CGI_10003182	1
CGI_10003184	1
CGI_10003185	1
CGI_10003188	10
CGI_10003189	2
CGI_10003190	1
CGI_10003191	2
CGI_10003192	4
CGI_10003193	3
CGI_10003195	13
CGI_10003197	1
CGI_10003198	1
CGI_10003199	3
CGI_10003200	7
CGI_10003201	1
CGI_10003205	2
CGI_10003207	21
CGI_10003212	1
CGI_10003215	1
CGI_10003216	1
CGI_10003218	1
CGI_10003220	2
CGI_10003222	1
CGI_10003223	1
CGI_10003224	2
CGI_10003225	3
CGI_10003226	1
CGI_10003231	1
CGI_10003233	2
CGI_10003237	1
CGI_10003238	1
CGI_10003240	1
CGI_10003242	1
CGI_10003244	1
CGI_10003245	2
CGI_10003246	1
CGI_10003249	6
CGI_10003250	1
CGI_10003251	3
CGI_10003254	4
CGI_10003259	10
CGI_10003263	2
CGI_10003264	3
CGI_10003265	1
CGI_10003266	3
CGI_10003267	2
CGI_10003268	1
CGI_10003269	1
CGI_10003270	3
CGI_10003271	2
CGI_10003273	1
CGI_10003274	5
CGI_10003277	2
CGI_10003278	1
CGI_10003279	1
CGI_10003281	1
CGI_10003282	3
CGI_10003285	1
CGI_10003288	2
CGI_10003289	5
CGI_10003290	1
CGI_10003293	3
CGI_10003297	1
CGI_10003298	1
CGI_10003299	3
CGI_10003300	2
CGI_10003301	6
CGI_10003303	4
CGI_10003306	1
CGI_10003307	1
CGI_10003308	1
CGI_10003309	1
CGI_10003310	1
CGI_10003311	1
CGI_10003312	1
CGI_10003316	4
CGI_10003317	1
CGI_10003318	2
CGI_10003319	1
CGI_10003320	2
CGI_10003321	9
CGI_10003322	2
CGI_10003323	2
CGI_10003324	2
CGI_10003327	1
CGI_10003329	2
CGI_10003331	1
CGI_10003332	1
CGI_10003333	1
CGI_10003334	1
CGI_10003342	2
CGI_10003343	3
CGI_10003345	1
CGI_10003347	3
CGI_10003348	4
CGI_10003349	4
CGI_10003352	5
CGI_10003354	1
CGI_10003355	3
CGI_10003356	1
CGI_10003360	1
CGI_10003361	11
CGI_10003362	1
CGI_10003363	2
CGI_10003365	1
CGI_10003366	1
CGI_10003367	1
CGI_10003368	1
CGI_10003369	2
CGI_10003371	1
